X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Imports
-93.88847,29.9604600000001,1,83,TOTAL PETROCHEMICALS & REFINING USA,TOTAL SA,Port Arthur,Texas,3,245,117,80,,,43,15.3,274.5,60,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.96046,-93.88847,1
-101.415073,32.270992,2,84,ALON USA ENERGY INC,DELEK GROUP LTD,Big Spring,Texas,3,74,28,23.5,,,21.5,5,61,,7.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.270992,-101.415073,0
-82.5964079999999,38.376602,3,87,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Catlettsburg,Kentucky,2,306,134,104,,,58,38.5,275.5,,35.4,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.376602,-82.596408,1
-81.413878,40.772929,4,89,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Canton,Ohio,2,102,35,26,,,22,8.5,94.5,,14.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.772929,-81.413878,1
-92.994345,44.851007,5,92,ST PAUL PARK REFINING CO LLC,MARATHON PETROLEUM CORP,Saint Paul,Minnesota,2,108,50,33,,,23,22,110.5,,14.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,44.851007,-92.994345,1
-118.236677,33.8185780000001,6,97,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,Carson,California,5,382,205,102.5,92,,79.5,70.3,302,109.1,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.818578,-118.236677,1
-122.734766,48.884624,7,98,BP West Coast Products LLC,BP PLC,Ferndale,Washington,5,251,139,,65,,65,26,180.8,61.5,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,48.884624,-122.734766,1
-149.604069,70.3248320000001,8,99,CONOCOPHILLIPS ALASKA INC,CONOCOPHILLIPS,Prudhoe Bay,Alaska,5,16,,,,,,,,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,70.324832,-149.604069,0
-148.37813,70.253586,9,100,HILCORP NORTH SLOPE LLC,HILCORP ENERGY CO,Prudhoe Bay,Alaska,5,8,,,,,,,,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,70.253586,-148.37813,0
-93.511874,32.5910700000001,10,110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Princeton,Louisiana,3,8.7,7,,,,,,,,2,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.59107,-93.511874,0
