"State","forestArea"
"Alaska","128577"
"Texas","62425"
"California","32618"
"Oregon","29804"
"Montana","25573"
"New Mexico","24840"
"Georgia","24768"
"Alabama","22877"
"Colorado","22837"
"Washington","22435"
"Idaho","21448"
"Michigan","20127"
"Mississippi","19542"
"New York","18966"
"Arkansas","18755"
"Arizona","18643"
"North Carolina","18588"
"Utah","18135"
"Maine","17660"
"Florida","17461"
"Minnesota","17371"
"Wisconsin","16980"
"Pennsylvania","16782"
"Virginia","15907"
"Missouri","15472"
"Louisiana","14712"
"Tennessee","13942"
"South Carolina","13120"
"Oklahoma","12646"
"Kentucky","12472"
"West Virginia","12155"
"Wyoming","11448"
"Nevada","11169"
"Ohio","8088"
"Illinois","4848"
"New Hampshire","4832"
"Indiana","4830"
"Vermont","4591"
"Massachusetts","3024"
"Iowa","3014"
"Kansas","2502"
"Maryland","2461"
"New Jersey","1964"
"South Dakota","1911"
"Hawaii","1748"
"Connecticut","1712"
"Nebraska","1576"
"North Dakota","760"
"Rhode Island","360"
"Delaware","340"
